E,B,D,M
35181,26241,"7,85","1,5"
38361,30122,"7,2","1,4"
38192,38679,"7,2","2,3"
36326,36345,"7,86","2,4"
39332,33680,7,"1,8"
39361,27027,7,"2,3"
37856,27960,7,"2,1"
38705,39412,"7,8","1,2"
37851,30503,7,"0,9"
38111,33101,"9,2","1,2"
38728,40092,"5,76","1,4"
38214,38017,7,"1,3"
37418,34981,7,"1,1"
37731,36181,7,"0,9"
37119,27916,7,"2,1"
38193,38714,7,"1,4"
36153,33543,7,"2,1"
38069,32759,7,"1,2"
38906,38021,"13,62","1,7"
37764,35621,7,"2,4"
39893,28854,7,"2,9"
40596,40918,7,"0,8"
39601,29426,7,"1,4"
38082,35313,"6,35","1,7"
39015,27001,"14,82","2,3"
38266,26671,7,1
38177,35207,"1,58","1,2"
36037,35908,"6,51","1,1"
38103,38553,"14,53","1,1"
37334,36855,"8,73","0,9"
38103,37139,7,"3,2"
37589,37760,"21,84","3,1"
39371,26297,14,3
37424,28899,7,"1,7"
37961,38079,6,"3,1"
37442,36609,7,"3,5"
37466,37056,7,"2,1"
38286,38857,7,"1,2"
37439,37134,4,"2,1"
35774,30339,7,"1,6"
36031,35893,1,"1,6"
37483,36946,5,"1,9"
37342,36869,5,"1,6"
35101,26808,4,2
40438,32158,3,"1,1"
36301,36333,2,"1,1"
39845,40665,"4,2","2,8"
37287,36875,4,"1,1"
37992,38192,"5,3","1,7"
38374,38833,"13,91","1,6"
38471,37566,"7,5","2,1"
37826,36100,"7,1","1,6"
38275,38270,"6,2","1,6"
37464,37014,"3,8","1,9"
36322,36350,"2,8","1,6"
38153,37819,"5,7",2
38886,43535,"7,2","1,1"
38142,36854,"2,9","1,1"
38606,39821,"1,9","2,8"
38203,38683,"3,4","1,1"
38576,31658,"7,3","1,7"
38135,38473,"6,4","1,6"
37351,37067,7,2
38192,38689,7,"1,6"
38162,37552,"4,9","1,3"
37767,36285,7,"1,7"
36887,26525,7,"1,8"
38125,38423,7,"1,7"
40561,27309,"3,8",1
37934,36236,"13,8","1,5"
36802,36462,"7,5","2,5"
37979,36354,"7,4","2,1"
37322,37102,"2,9","1,7"
35259,27103,"3,7","1,6"
38325,37375,7,1
37696,35353,"7,12","2,3"
35261,26827,"22,56","2,1"
35251,26877,"7,14","2,3"
38167,36618,7,"2,5"
37836,36381,7,"2,2"
41557,34370,"8,52",2
38055,36742,7,"2,1"
38452,37652,7,2
38031,37609,7,"2,2"
39014,41133,7,"1,5"
38076,37817,"5,23","1,9"
37121,36226,"7,37","1,9"
37269,36961,7,"1,5"
38061,36721,7,"1,8"
37344,36809,7,"2,7"
38318,27192,"1,81",2
38099,38295,7,"2,3"
40789,30953,"8,73","2,6"
38205,38688,7,"1,6"
38317,38208,"3,2","1,8"
37943,36323,7,"1,4"
38084,37468,"3,39","2,1"
38674,27596,"4,02","1,5"
38185,37827,7,"1,7"
36759,27992,7,"1,4"
37212,35938,"3,21","1,1"
38191,38695,7,"1,3"
39244,40122,"7,66","2,3"
37461,37142,"7,44","1,3"
38113,37854,7,"2,1"
37874,37802,"0,5","2,9"
39951,33499,7,"0,8"
36337,36368,7,"1,2"
38602,33639,7,"2,1"
37486,37392,7,"1,5"
36326,36368,"8,3","1,3"
38092,38424,"1,5","1,4"
37356,32691,"4,5","1,6"
36560,28776,"8,5","1,9"
37797,36239,"2,2","1,2"
38071,37689,"8,3","1,2"
39607,38622,"6,5","2,7"
37762,29082,7,"2,7"
38193,38684,"9,6","1,6"
40688,32806,"6,1","1,6"
41964,36965,"4,2","1,8"
37493,37157,"7,1","1,6"
39859,33185,7,2
38029,27613,7,"2,2"
38156,37823,"2,4","3,2"
38134,37627,"4,3","1,9"
37371,37068,"1,8","1,9"
38051,26292,"5,3","2,4"
38188,38608,7,"1,4"
38119,38542,"4,7","1,6"
38175,38692,7,"1,9"
37886,36226,"3,19",2
37159,36641,"3,23","2,3"
38064,37213,"3,45","1,7"
37172,36025,"7,35","1,6"
38381,37357,"4,45","1,4"
37869,37843,"1,15",1
38187,38702,7,1
38294,37792,7,"2,3"
38102,37842,"1,35","1,6"
38198,38714,"4,36","1,6"
35854,27171,"2,44","2,5"
37075,28892,"2,35","1,7"
37818,36349,"6,33",2
36334,31539,"7,45","1,4"
38183,38619,"3,45","2,4"
37261,37043,7,"0,9"
38559,39714,"7,45","2,1"
38101,37757,"8,45","2,3"
38098,36569,7,"3,1"
37851,36265,"4,45","1,4"
37418,37072,"5,12","1,9"
40689,32812,"7,42","1,1"
37435,37002,"4,73","1,3"
38346,27173,"5,82","1,5"
38088,38444,"6,51","1,8"
37475,37176,"2,85","1,9"
39536,"33,03","2,86",1
38894,43573,"15,79","1,7"
37751,36315,"3,93","1,9"
38155,38421,"2,85","1,1"
37886,36607,"4,69","2,2"
41777,45732,7,"2,4"
37374,37057,"4,22","0,9"
37822,36363,7,"0,8"
38559,39686,7,1
37611,27053,"15,81","1,8"
36905,27623,"2,13","1,2"
36288,36053,"5,5","3,9"
39872,29221,"7,49","1,4"
38089,38436,"2,84","4,9"
37650,35459,"2,58","1,7"
37676,35340,"0,99","2,3"
38203,27646,"5,11","2,1"
37779,36219,7,"1,5"
35867,29396,"22,32","2,3"
36284,36361,"1,27","2,7"
38468,39266,"4,74",2
38119,38394,"2,2","2,3"
38200,28835,"9,71","2,6"
40824,41776,4,"1,6"
38039,36487,"2,99","1,8"
37488,37159,"8,14","1,4"
35994,33508,"8,54","2,1"
39417,28182,"5,2","1,5"
35995,33521,"1,3","1,7"
39724,27717,"7,1","1,4"
37640,35475,"1,58","1,1"
36238,35662,14,"1,3"
36456,28667,"3,9","2,3"
38011,37671,"2,13","1,3"
36338,29757,"7,46","2,1"
38064,37235,"4,8","2,9"
40040,28014,"2,76","0,8"
39421,38625,"3,93","1,2"
37251,37069,"4,39","2,1"
38839,37456,"3,39","1,5"
38834,37472,"7,26","1,3"
38843,37417,"3,39","1,4"
38830,37417,"18,21","1,6"
38835,37434,"14,46","1,9"
35933,30244,"8,7","1,2"
38075,37244,"7,49","1,2"
38824,37430,"2,39","2,7"
38213,38689,"4,8","2,7"
38182,38156,7,"1,7"
37842,37755,"1,99","2,3"
39408,28184,"2,31",1
38837,37464,"2,13","1,2"
38394,37488,7,"1,1"
38906,32946,"4,69","1,1"
38386,39128,7,"0,9"
38834,37436,"7,37","3,2"
37191,36933,7,"3,1"
35191,27275,"2,3",3
37359,36848,7,"1,7"
38273,38792,"0,99","3,1"
38906,32968,"3,47","3,5"
38041,38316,"3,75","2,1"
37189,36926,7,"1,2"
36650,36448,7,"2,1"
38121,38429,"3,25","1,6"
36919,27308,"6,84","1,6"
37856,37834,7,"1,9"
38221,38148,7,"1,6"
37225,36984,7,2
37921,36236,7,"1,1"
37937,36686,7,"1,1"
38147,36900,7,"2,8"
36805,28214,7,"1,1"
38907,32955,"3,93","1,7"
38889,32968,7,"1,6"
38900,32948,"6,84","2,1"
39405,28189,"7,94","1,6"
38834,37459,"4,69","1,6"
37442,37000,"6,42","1,9"
37136,36945,7,"1,6"
41102,35052,"4,36",2
38326,38189,"4,11","1,1"
38176,37956,7,"1,1"
36439,36449,"6,32","2,8"
38312,37776,7,"1,1"
36441,28597,"25,91","1,7"
37316,36186,"1,88","1,6"
36335,28491,7,2
38265,38288,7,"1,6"
38108,37040,"2,85","1,3"
38189,38637,"4,44","1,7"
37521,37290,7,"1,8"
35888,30818,"19,66","1,7"
38820,37459,"6,43",1
38084,38364,7,"1,5"
37188,36906,7,"2,5"
37588,36005,"0,9","2,1"
38157,37783,7,"1,7"
36342,36244,"1,58","1,6"
38834,37451,"4,11",1
38819,37448,"7,34","2,3"
38206,38722,"4,38","2,1"
38609,39538,7,"2,3"
39656,41181,"2,68","2,5"
37824,36409,"8,94","2,2"
38180,38148,7,2
39570,32971,"3,2","2,1"
39644,43702,"3,5",2
37896,36668,7,"2,2"
37337,37086,7,"1,5"
37955,36469,"3,71","1,9"
38242,25885,"6,35","1,9"
38092,38456,"6,54","1,5"
38984,27321,"0,73","1,8"
38425,37536,"6,39","2,7"
37192,36901,7,2
37967,21016,"9,25","2,3"
37966,38133,"7,1","2,6"
37802,36273,7,"1,6"
37206,30636,7,"1,8"
37869,35294,"1,9","1,4"
37951,27128,"9,81","2,1"
38242,38077,7,"1,5"
38826,37455,"6,41","1,7"
38175,37842,"9,65","1,4"
36441,38765,4,"1,1"
38158,20744,4,"1,3"
38234,38791,"1,5","2,3"
37824,37762,"1,7","1,3"
37645,35453,"24,22","2,1"
38258,38327,"3,8","2,9"
38224,38168,15,"0,8"
37965,27145,"6,69","1,2"
38146,37855,"2,49","2,1"
40812,40686,7,"1,5"
39860,41739,"1,54","1,3"
37426,37194,"3,51","1,4"
38329,27194,"2,55","1,6"
36952,28267,"5,41","1,9"
36261,36001,"2,97","1,2"
36186,35993,"2,13","1,2"
39089,28158,"0,98","2,7"
39173,27487,"1,82","2,7"
36132,29871,"15,92","1,6"
37782,36223,"4,96","1,6"
40393,26168,"1,72","1,8"
36453,36442,"3,2","1,6"
38817,37451,"5,05",2
38835,37392,"1,45","2,2"
38743,25937,"6,81","3,2"
38073,36544,"1,6","1,9"
38099,36960,"1,21","1,9"
38054,36519,"4,89","2,4"
38807,37441,"5,14","1,4"
38083,38391,7,"1,6"
37497,43475,"0,49","1,9"
41140,34504,"9,66",2
37831,36353,7,"2,3"
38188,27634,7,"1,7"
38104,38456,"8,23","1,6"
37856,36673,7,"1,4"
37736,36113,7,1
38483,39213,"5,58",1
38265,37794,7,"2,3"
38749,26039,7,"1,6"
37828,36377,7,"1,6"
37844,36348,"7,49","2,5"
38159,37848,"13,73","1,7"
38008,37444,"17,41",2
37521,37084,7,"1,4"
37752,36143,"4,81","2,4"
37588,37305,7,"0,9"
38134,36589,7,"2,1"
37761,35623,"3,39","2,3"
38326,37829,7,"1,5"
37685,35392,7,"1,4"
38094,32625,"2,81","2,3"
37895,36261,"6,54","2,4"
36740,36166,"3,27","1,8"
36954,27726,"4,67","2,3"
39394,26253,7,"2,1"
38042,37036,"2,97","1,2"
38099,37414,"3,61","0,9"
37810,37742,"8,58","1,2"
37732,35706,"9,52","1,4"
39454,27826,"7,39","1,3"
37371,36982,"2,65","1,1"
36927,35406,"7,25","0,9"
36043,30659,"4,2","2,1"
38542,39681,"7,08","1,4"
38144,30361,"8,94","2,1"
38142,30356,7,"1,2"
38261,38704,"19,99","1,7"
39651,25571,"2,07","2,4"
37671,35388,7,"2,9"
38212,38068,7,"0,8"
40441,27436,"3,53","1,4"
38101,32708,"4,12","1,7"
38107,36794,7,"2,3"
37495,37009,"3,2",1
36392,36254,"4,14","1,2"
38294,38886,7,"1,1"
40507,36871,"16,29","1,1"
39609,29317,7,"0,9"
38152,37911,7,"3,2"
37626,35866,"2,58","3,1"
38215,37759,"3,82",3
38699,43151,"1,45","1,7"
40858,31656,"5,16","3,1"
40786,30985,7,"3,5"
38700,43149,"2,13","2,1"
38183,27672,7,"1,2"
38255,38208,7,"2,1"
35964,35992,"6,21","1,6"
37647,35918,7,"1,6"
39414,28194,7,"1,9"
39652,36976,"6,38","1,6"
38913,32967,"4,02",2
39420,28188,2,"1,1"
39033,32736,1,"1,1"
38599,31119,"4,21","2,8"
37620,35857,7,"1,1"
38625,31102,"4,21","1,7"
37852,36588,7,"1,6"
37388,37069,"3,08","2,1"
38124,38476,7,"1,6"
39381,39872,"0,98","1,6"
38617,31102,7,"1,9"
37242,37008,7,"1,6"
39819,32922,"0,94",2
37995,36404,"4,06","1,1"
37159,36939,7,"1,1"
39837,34054,7,"2,8"
37818,36309,7,"1,1"
40871,28309,"5,74","1,7"
37085,34506,7,"1,6"
38173,38059,7,2
37486,38703,7,"1,6"
34641,25502,"3,21","1,3"
37894,37501,7,"1,7"
38289,38910,7,"1,8"
36359,28917,7,"1,7"
37981,36337,7,1
38175,38047,7,"1,5"
37908,26960,7,"2,5"
38121,38394,7,"2,1"
38262,25959,"7,32","1,7"
38956,44310,"7,12","1,6"
38054,37644,7,1
38592,31103,7,"2,3"
38594,31101,7,"2,1"
38204,38701,7,"2,3"
38608,31118,7,"2,5"
37058,28893,7,"2,2"
38058,36664,7,2
38943,33431,7,"2,1"
38593,31103,7,2
38602,31105,7,"2,2"
36745,36205,7,"1,5"
38357,37339,7,"1,9"
36282,36221,"5,43","1,9"
39671,33599,7,"1,5"
38192,38711,7,"1,8"
38221,27674,7,"2,7"
35714,27534,"9,25",2
36634,36497,7,"2,3"
39527,37994,"7,12","2,6"
35626,35702,"3,17","1,6"
37220,36697,"0,38","1,8"
37930,38015,7,"1,4"
39476,26302,7,"2,1"
40409,27204,7,"1,5"
38032,36608,7,"1,7"
36054,35939,7,"1,4"
38015,37304,7,"1,1"
38217,38089,7,"1,3"
37055,28886,"6,33","2,3"
38021,36591,7,"1,3"
39874,38671,"3,93","2,1"
38095,36588,7,"2,9"
38102,38409,"6,32","0,8"
38007,37426,"7,12","1,2"
38261,37803,"7,49","2,1"
38373,37520,"7,81","1,5"
38104,37474,"7,58","1,3"
38319,27161,"7,12","1,4"
37845,36362,"7,43","1,6"
38944,44755,"8,01","1,9"
43096,27787,"9,82","1,2"
38525,38058,7,"1,2"
38856,26722,"2,13","2,7"
41154,41921,"1,5","2,7"
38441,39169,7,"1,6"
37373,37053,"7,46","1,6"
35134,27269,"7,96","1,8"
38086,38402,"1,39","1,6"
38204,38572,"9,64",2
37808,36413,"7,41","2,2"
36296,28683,7,"3,2"
37822,36423,"5,23","1,9"
38295,38269,7,"1,9"
37409,37218,"5,32","2,4"
36677,36544,"6,35","1,4"
39629,29456,"9,51","1,6"
37591,29209,7,"1,9"
36672,36596,7,2
37769,27431,"6,81","2,3"
37643,35852,7,"1,7"
41207,41576,7,1
39065,27016,"3,51",1
37208,36967,7,"2,1"
38160,38462,"7,11",1
39574,26538,"7,25","2,5"
39898,28856,"7,46","2,2"
37421,37043,"8,75","1,8"
38254,38808,"5,48","1,6"
38211,38781,"0,66",1
37256,36439,7,"2,3"
38359,27206,"4,24","2,1"
38321,37350,"3,94","2,3"
37555,37274,"4,62","2,5"
37522,37564,7,"2,2"
38177,38536,"4,62",2
37492,36486,7,"2,1"
41307,43849,"9,85",2
37505,37054,"3,14","2,2"
37823,37819,"6,51","1,5"
41366,32291,7,"1,9"
36622,28119,"13,56","1,9"
37799,36594,"7,69","1,5"
38469,39633,"5,74","1,8"
38236,37286,7,"2,7"
38154,38541,"6,84",2
38282,37777,"4,69","2,3"
37676,27109,"3,59","2,6"
37584,43352,7,"1,6"
36338,31676,"4,71","1,8"
38191,38688,"9,47","1,4"
37663,36205,"5,45","2,1"
37669,36210,"7,49","1,5"
40724,35239,"3,39","2,9"
37752,35637,"5,01","2,2"